,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
0,Laura,Aguilera Ávila,Trabajo Social y Servicios Sociales,1,Integrando capacidades del alumnado: estrategias del plan de orientación y acción tutorial para el éxitoXII International Congress of Educational Sciences and Development,
1,Silvia,Alonso Pérez,Ingeniería Eléctrica,3,Identification of North African regions inducing variability of dust composition in the Saharan Air Layer during the VARDUSTSAL campaign at high altitude in Cape VerdeThe European Aerosol Conference 2024,
2,Silvia,Alonso Pérez,Ingeniería Eléctrica,3,Influence of Saharan dust on the migration and fisheries of the Atlantic tropical tuna: the Atlantic - Saharan migrationThe European Aerosol Conference 2024,
3,Silvia,Alonso Pérez,Ingeniería Eléctrica,3,Studying the physical properties of dust aerosols impacting the subtropical North Atlantic during extreme dust eventsThe European Aerosol Conference 2024,
48,Carmen,Ascanio Sánchez,Sociología,0,,
49,Carmen Marina,Barreto Vargas,Antropología Social,0,,
50,Inmaculada,Blasco Herranz,Historia Contemporánea,0,,
51,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,0,,
7,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,"Cryptanalysis of TRUTH: Fixing a Protocol to Make it 5G-Compliant2024 International Symposium on Networks, Computers and Communications, ISNCC 2024",
4,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,AI-Driven Wearables for Driver Health and SafetyLecture Notes in Networks and Systems,
6,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Criptografía para problemas QUBOJornadas Nacionales de Investigación en Ciberseguridad (JNIC) (9ª.2024. Sevilla),
26,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,WIP: Using GeoGebra to Learn the Basics of Post-Quantum Cryptography2024 IEEE Frontiers in Education Conference (FIE),
5,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Criptografía para problemas QUBOIX Jornadas Nacionales de Investigación En Ciberseguridad,
24,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Visualización y Estudio de un Ataque en Criptografía de Curva ElípticaIX Jornadas Nacionales de Investigación En Ciberseguridad,
23,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Theoretical Backdoor Attack on CRYSTALS-DilithiumEurocast 2024 - 19th International Conference on Computer Aided Systems Theory,
22,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,"Theoretical Approach to Backdoor Attacks on the Template of CRYSTALS-Dilithium2024 IEEE International Conference on Communications Workshops, ICC Workshops 2024",
21,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Simulated Execution Through Quantum Algebraic Circuit NotationEurocast 2024 - 19th International Conference on Computer Aided Systems Theory,
20,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Simulación interactiva de protocolos cuánticos de distribución de clavesIX Jornadas Nacionales de Investigación En Ciberseguridad,
19,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,"Real-Time Personalized Detection of Cyberbullying and Online Harassment in Social Networks Using Jetson NanoInternational Conference on Social Networks Analysis, Management and Security, SNAMS",
25,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,WIP: Teaching Basic Concepts of Quantum Computing Using Scratch2024 IEEE Frontiers in Education Conference (FIE),
17,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Quantum Circuit Optimization Through Algebraic TechniquesEurocast 2024 - 19th International Conference on Computer Aided Systems Theory,
16,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Phishing and Spam Prevention Powered by Jetson NanoLecture Notes in Networks and Systems,
15,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Optimización de circuitos cuánticos para la implementación de criptología cuánticaJornadas Nacionales de Investigación en Ciberseguridad (JNIC) (9ª.2024. Sevilla),
14,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Optimización de Circuitos Cuánticos para la Implementacón de Criptología CuánticaIX Jornadas Nacionales de Investigación En Ciberseguridad,
13,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Oblivious Transfer and Bit Commitment Based on Quantum CommunicationQUANTUMatter 2024 (4th.2024. San Sebastian),
12,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Linking Mental Health Incidents with External Variables: A Machine Learning StudyLecture Notes in Networks and Systems,
11,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,La Transformada Teórica de Números para KyberIX Jornadas Nacionales de Investigación En Ciberseguridad,
10,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Improving Privacy in Federated Learning-Based Intrusion Detection for IoT NetworksProceedings of the ACM Symposium on Applied Computing,
8,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,Exploración y Evaluación de Técnicas de Reducción de Características en Quantum Machine LearningIX Jornadas Nacionales de Investigación En Ciberseguridad,
9,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,GeoGebra para introducir los fundamentos de la criptografía basada en retículosIX Jornadas Nacionales de Investigación En Ciberseguridad,
18,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,23,QuantumSolver AI: A Quantum Artificial Intelligence ModuleQUANTUMatter 2024,
53,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,0,,
54,María Aránzazu,Calzadilla Medina,Derecho Civil,0,,
27,Bernardo Antonio,Candela Sanjuan,Dibujo,1,El diseño como motor para la economía circular en Canarias : informecoord.Jornada Mesa Circular : el diseño como motor para la economía circular en Canarias,
55,Luis Javier,Capote Pérez,Derecho Civil,0,,
56,Lara,Carrascosa Puertas,Periodismo,0,,
28,Esperanza María,Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación,2,"Relaciones SIG e internacionalización del entorno EvalCOMIX-FLOASS para el seguimiento y evaluación de los resultados de aprendizajeXXI Congreso Internacional de Investigación Educativa, IV Encuentro de Doctorandos/as e Investigadores/as Noveles de AIDIPE: Libro de Actas, Barcelona 18-21 de junio de 2024",
29,Esperanza María,Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación,2,"Validación del cuestionario UPCOCEF de usabilidad pedagógica para plataformas de coformación centro escolar-familiaXXI Congreso Internacional de Investigación Educativa, IV Encuentro de Doctorandos/as e Investigadores/as Noveles de AIDIPE: Libro de Actas, Barcelona 18-21 de junio de 2024",
57,María José,Chivite de León,Filología Inglesa,0,,
58,Noemi,Cinelli,Historia del Arte,0,,
59,Olegaria del Pino,Cuesta Ojeda,Sociología,0,,
52,Celsa María,Cáceres Rodríguez,Trabajo Social y Servicios Sociales,0,,
60,Lucía,Dans Álvarez de Sotomayor,Derecho del Trabajo y de la Seguridad Social,0,,
61,Eva Rosa,Darias Beautell,Filología Inglesa,0,,
62,Coral Anaid,Díaz Cano,Filología Inglesa,0,,
64,Matilde Candelaria,Díaz Hernández,Psicología Social,0,,
63,Cristian,Díaz Hernández,Sociología,0,,
65,Betty Coromoto,Estévez Cedeño,Sociología,0,,
66,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,0,,
30,Natividad,Garrido Rodríguez,Lógica y Filosofía de la Ciencia,1,"El papel del paciente en medicina: Una exploración desde la perspectiva epistemológicaActas del XI Congreso de la Sociedad de Lógica, Metodología y Filosofía de la Ciencia en España: Oviedo, 16-19 de julio de 2024",
67,Laura Sabina,González Carracedo,Historia Moderna,0,,
69,Dulce María,González Doreste,Filología Francesa,0,,
68,Isabel,González Díaz,Filología Inglesa,0,,
34,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,4,Shaping Tomorrow's AI Natives: Promoting AI Literacy in Early Childhood Education.Congreso Internacional en Inteligencia Artificial y Educación (CIIAE) (1º. 2024. Buenos Aires),
31,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,4,"Development of Academic Projects with Robotics for Social Support: Initiatives of Mexican engineering StudentsIEEE Global Engineering Education Conference, EDUCON",
32,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,4,"Puntal, the simplicity and power of a generative artificial intelligence based virtual assistant and its acceptance by preschool children.Congreso Internacional en Inteligencia Artificial y Educación (CIIAE) (1º. 2024. Buenos Aires)",
33,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,4,"STEMming the Gap: Empowering Women's Initiatives in Computer ScienceIEEE Global Engineering Education Conference, EDUCON",
35,Teresa,González Pérez,Teoría e Historia de la Educación,1,Influencias transnacionales en la modernización de la educación de las mujeres españolas: la tentativa de la Sección Femenina.XXII Coloquio de Historia de la Educación.Transnacionalidad y transculturalidad en la Historia de la Educación durante la Modernidad y la Contemporaneidad.,
70,María José,Guerra Palmero,Filosofía Moral,0,,
36,Judit,Gutiérrez de Armas,Historia Moderna,1,La ruta de las Haciendas. El rescate de un paisaje cultural relicto en el norte de TenerifeEuropean Network of Universities for the implementation of the European Landscape Convention,
71,Rosa María,Henríquez Rodríguez,Sociología,0,,
72,Débora Estefanía,Hernández Lorenzo,Trabajo Social y Servicios Sociales,0,,
73,José Ulises,Hernández Plasencia,Derecho Penal,0,,
37,María Beatriz,Hernández Pérez,Filología Inglesa,1,"Del libro quemado al libro olvidado: cuerpo y escritura para la comadre de Bath y Margery KempeEstudios de literatura Comparada 4. Misoginia y filoginia en el discurso literario europeo de la Edad Media, Teatro y literatura, Literatura y animales",
74,Marta Esther,Jiménez Jaén,Sociología,0,,
75,María del Carmen,Marrero Marrero,Filología Francesa,0,,
76,Adriana Fabiola,Martín Cáceres,Derecho Financiero y Tributario,0,,
77,Matilde,Martín González,Filología Inglesa,0,,
78,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",0,,
79,Laura María,Melián Chinea,Derecho del Trabajo y de la Seguridad Social,0,,
40,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,3,"STEMming the Gap: Empowering Women's Initiatives in Computer ScienceIEEE Global Engineering Education Conference, EDUCON",
41,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,3,Shaping Tomorrow's AI Natives: Promoting AI Literacy in Early Childhood Education.Congreso Internacional en Inteligencia Artificial y Educación (CIIAE) (1º. 2024. Buenos Aires),
39,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,3,Linking Mental Health Incidents with External Variables: A Machine Learning StudyLecture Notes in Networks and Systems,
42,María Eugenia,Monzón Perdomo,Historia Moderna,1,La ruta de las Haciendas. El rescate de un paisaje cultural relicto en el norte de TenerifeEuropean Network of Universities for the implementation of the European Landscape Convention,
38,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,1,Learning Descriptors for Novelty-Search Based Instance Generation via Meta-evolutionGECCO 24: Proceedings of the Genetic and Evolutionary Computation Conference,
80,Yolanda,Peralta Sierra,Historia del Arte,0,,
81,María Inmaculada,Perdomo Reyes,Lógica y Filosofía de la Ciencia,0,,
